No.,Reaction name (book TOC),Normalized / common name,Book page,Subentry,Parent entry,Entry type,Primary class,Concise description,Representative reaction SMILES,SMILES status,RXNO ID,RXNO label,RXNO definition,Notes / discrepancies,Book source,RXNO URL
266,Newman–Kwart reaction,Newman–Kwart reaction,551,Yes,Smiles rearrangement,Reaction,Rearrangement / fragmentation,"Thermal O-to-S aryl migration of an O-aryl thiocarbamate, enabling conversion of a phenol into a thiophenol after hydrolysis.",CN(C)C(=S)Oc1ccccc1>>CN(C)C(=O)Sc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 551",
267,Truce–Smiles rearrangement,Truce–Smiles rearrangement,553,Yes,Smiles rearrangement,Reaction,Rearrangement / fragmentation,Intramolecular nucleophilic aromatic substitution in which a carbon nucleophile displaces a tethered leaving group and transfers an aryl group.,,Not encoded,,,,The TOC prints “Truce–Smile”; the common spelling is Truce–Smiles.,"Li, Name Reactions, 3rd ed. (2006), p. 553",
268,Sommelet reaction,Sommelet reaction,555,No,,Reaction,Oxidation / alkene functionalization,Conversion of a benzyl halide into the corresponding aldehyde using hexamethylenetetramine followed by hydrolysis.,ClCc1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000118,Sommelet reaction,The oxidation of a benzylic halide to give an aldehyde. The reaction uses hexamethylenetetramine.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 555",https://purl.obolibrary.org/obo/RXNO_0000118
269,Sommelet–Hauser rearrangement,Sommelet–Hauser rearrangement,557,No,,Reaction,Rearrangement / fragmentation,"[2,3]-Wittig rearrangement of benzylic quaternary ammonium salts upon treatment with alkali metal amides via the ammonium ylide intermediates.",,Not encoded,RXNO:0000174,Sommelet-Hauser rearrangement,"The [2,3]-sigmatropic rearrangement of a benzyl quaternary ammonium salt to form an aniline.",,"Li, Name Reactions, 3rd ed. (2006), p. 557",https://purl.obolibrary.org/obo/RXNO_0000174
270,Sonogashira reaction,Sonogashira reaction,559,No,,Reaction,Cross-coupling / organometallic coupling,Palladium/copper-catalyzed cross-coupling of a terminal alkyne with an aryl or vinyl halide.,Ic1ccccc1.C#C>>C#Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000137,Sonogashira coupling,A carbon-carbon coupling reaction where a terminal alkyne reacts with an aryl halide to give an aryl alkyne. It is catalysed by palladium.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 559",https://purl.obolibrary.org/obo/RXNO_0000137
271,Staudinger ketene cycloaddition,Staudinger ketene cycloaddition,561,No,,Reaction,Cycloaddition / annulation / ring formation,[2+2] cycloaddition of a ketene with an imine to form a β-lactam; ketenes can analogously form cyclobutanones with alkenes or β-lactones with carbonyl compounds.,C=C=O.C=Nc1ccccc1>>O=C1CN(c2ccccc2)C1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 561",
272,Staudinger reduction,Staudinger reduction,563,No,,Reaction,Reduction,"Reduction of an organic azide to a primary amine by phosphine addition, nitrogen extrusion, and hydrolysis of the iminophosphorane.",c1ccccc1N=[N+]=[N-]>>Nc1ccccc1,Representative; RDKit-parsable,RXNO:0000066,Staudinger reaction,A joining of an organic azide and a tertiary phosphine to give a phosphazo compound.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 563",https://purl.obolibrary.org/obo/RXNO_0000066
273,Sternbach benzodiazepine synthesis,Sternbach benzodiazepine synthesis,565,No,,Reaction,Heterocycle synthesis,"Treatment of quinazoline 3-oxide with amines gives the rearrangement product, 1,4-benzodiazepine.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 565",
274,Stetter reaction,Stetter reaction,567,No,,Reaction,C–C bond formation / condensation / multicomponent,"N-Heterocyclic-carbene-catalyzed conjugate addition of an aldehyde acyl-anion equivalent to a Michael acceptor, giving a 1,4-dicarbonyl compound.",O=Cc1ccccc1.C=CC(C)=O>>CC(=O)CCC(=O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 567",
275,Still–Gennari phosphonate reaction,Still–Gennari phosphonate reaction,569,No,,Reaction,Functional-group interconversion / method,Horner–Wadsworth–Emmons variant using bis(trifluoroethyl) phosphonates and a strong base to favor Z-alkenes.,O=Cc1ccccc1.O=P(OCC(F)(F)F)(OCC(F)(F)F)CC(=O)OC>>COC(=O)/C=C\c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 569",
276,Stille coupling,Stille coupling,571,No,,Reaction,Cross-coupling / organometallic coupling,"Palladium-catalyzed cross-coupling reaction of organostannanes with organic halides, triflates, etc.",Brc1ccccc1.C[Sn](C)(C)C>>Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000035,Stille coupling,A carbon-carbon coupling reaction where a stannane reacts with an organohalide or organotriflate.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 571",https://purl.obolibrary.org/obo/RXNO_0000035
277,Stille–Kelly reaction,Stille–Kelly reaction,573,No,,Reaction,Cross-coupling / organometallic coupling,Palladium-catalyzed intramolecular cross-coupling reaction of bis-aryl halides using ditin reagents.,Brc1ccccc1-c1ccccc1Br>>c1ccc2c(c1)ccc1ccccc12,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 573",
278,Stobbe condensation,Stobbe condensation,575,No,,Reaction,C–C bond formation / condensation / multicomponent,Condensation of diethyl succinate and its derivatives with carbonyl compounds in the presence of a base.,CCOC(=O)CCC(=O)OCC.O=Cc1ccccc1>>CCOC(=O)C(=Cc1ccccc1)CC(=O)O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 575",
279,Stork enamine reaction,Stork enamine reaction,577,No,,Reaction,C–C bond formation / condensation / multicomponent,"A variant of the Robinson annulation, where bulky amines such as pyrrolidine are used, making the conjugate addition to methyl vinyl ketone (MVK) take place at the less hindered side of two possible enamines.",O=C1CCCCC1.C=CC(C)=O>>CC(=O)CCC1CCCCC1=O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 577",
280,Strecker amino acid synthesis,Strecker amino acid synthesis,579,No,,Reaction,C–C bond formation / condensation / multicomponent,"Sodium cyanide-promoted condensation of aldehyde and amine to afford α-amino nitrile, which may be hydrolyzed to α-amino acid.",O=Cc1ccccc1.N.N#C>>NC(C(=O)O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 579",
281,Suzuki coupling,Suzuki coupling,581,No,,Reaction,Cross-coupling / organometallic coupling,"Palladium-catalyzed cross-coupling reaction of organoboranes with organic halides, triflates, etc.",Brc1ccccc1.OB(O)c1ccccc1>>c1ccc(-c2ccccc2)cc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 581",
282,Swern oxidation,Swern oxidation,583,No,,Reaction,Oxidation / alkene functionalization,"Oxidation of alcohols to the corresponding carbonyl compounds using (COCl)2, DMSO, and quenching with Et3N.",OCc1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000154,Swern oxidation,The oxidation of a primary alcohol or secondary alcohol to an aldehyde or ketone respectively. Does not work with allylic or benzylic alcohols.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 583",https://purl.obolibrary.org/obo/RXNO_0000154
283,Takai iodoalkene synthesis,Takai iodoalkene synthesis,585,No,,Reaction,Olefination / elimination,Stereoselective conversion of an aldehyde into an E-vinyl iodide using iodoform and chromium(II) chloride.,O=Cc1ccccc1>>I/C=C/c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 585",
284,Tebbe olefination,Tebbe olefination,587,No,,Reaction,Olefination / elimination,Transformation of a carbonyl compound to the corresponding exo-olefin using Tebbe’s reagent.,CC(=O)c1ccccc1>>C=C(C)c1ccccc1,Representative; RDKit-parsable,RXNO:0000480,Tebbe olefination,Reaction of an aldehyde or ketone or carboxylic ester or amide with the Tebbe reagent to yield an olefin or an enol ether or an enamine.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 587",https://purl.obolibrary.org/obo/RXNO_0000480
285,Petasis alkenylation,Petasis methylenation (Petasis olefination),587,Yes,Tebbe olefination,Reaction,Olefination / elimination,"Methylenation of aldehydes and ketones with dimethyltitanocene (Petasis reagent), a practical alternative to Tebbe olefination.",CC(=O)c1ccccc1>>C=C(C)c1ccccc1,Representative; RDKit-parsable,RXNO:0000480,Tebbe olefination,Reaction of an aldehyde or ketone or carboxylic ester or amide with the Tebbe reagent to yield an olefin or an enol ether or an enamine.,"Listed as a subentry under Tebbe olefination; this use of the Petasis reagent is commonly called Petasis methylenation/olefination. Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 587",https://purl.obolibrary.org/obo/RXNO_0000480
286,TEMPO-mediated oxidation,TEMPO-mediated oxidation,589,No,,Reaction,Oxidation / alkene functionalization,Catalytic nitroxyl-radical oxidation of primary alcohols to aldehydes or acids and secondary alcohols to ketones.,OCc1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 589",
287,Thorpe–Ziegler reaction,Thorpe–Ziegler reaction,592,No,,Reaction,Cycloaddition / annulation / ring formation,"Intramolecular base-promoted condensation of a dinitrile to a cyclic imine/enamine, providing a carbocyclic or heterocyclic ring.",N#CCCCCC#N>>N#CC1=C(N)CCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 592",
288,Tsuji–Trost allylation,Tsuji–Trost reaction,594,No,,Reaction,Functional-group interconversion / method,"Palladium-catalyzed allylation using nucleophiles with allylic halides, acetates, carbonates, etc.",C=CCOC(C)=O.COC(=O)CC(=O)OC>>C=CCC(C(=O)OC)C(=O)OC,Representative; RDKit-parsable,RXNO:0000311,Tsuji-Trost reaction,"A carbon-carbon coupling reaction in which a nucleophile reacts with an allyl acetate, allyl halide, allyl carbonate, allyl carbamate, allyl phosphate, allyl sulfone or allyl nitro compound to give an allyl compound. The reaction is catalsed by Pd(0).","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 594",https://purl.obolibrary.org/obo/RXNO_0000311
289,Ugi reaction,Ugi reaction,596,No,,Reaction,C–C bond formation / condensation / multicomponent,"Four-component condensation (4CC) of carboxylic acids, C-isocyanides, amines, and carbonyl compounds to afford diamides.",O=Cc1ccccc1.CN.CC(=O)O.CC(C)(C)[N+]#[C-]>>CC(=O)N(C)C(c1ccccc1)C(=O)NC(C)(C)C,Representative; RDKit-parsable,RXNO:0000129,Ugi reaction,"Reaction of a ketone or aldehyde, amine, an isocyanide and carboxylic acid to form a bisamide.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 596",https://purl.obolibrary.org/obo/RXNO_0000129
290,Ullmann reaction,Ullmann reaction,599,No,,Reaction,Cross-coupling / organometallic coupling,Homocoupling of aryl halides in the presence of Cu or Ni or Pd to afford biaryls.,Ic1ccccc1.Ic1ccccc1>>c1ccc(-c2ccccc2)cc1,Representative; RDKit-parsable,RXNO:0000040,Ullmann reaction,A carbon-carbon homocoupling reaction of an aryl halide mediated by copper.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 599",https://purl.obolibrary.org/obo/RXNO_0000040
291,van Leusen oxazole synthesis,van Leusen oxazole synthesis,601,No,,Reaction,Heterocycle synthesis,"Base-promoted condensation of TosMIC with an aldehyde, followed by cyclization, to form a 5-substituted oxazole.",O=Cc1ccccc1.Cc1ccc(S(=O)(=O)C[N+]#[C-])cc1>>c1oc(-c2ccccc2)nc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 601",
292,Vilsmeier–Haack reaction,Vilsmeier–Haack reaction,603,No,,Reaction,Aromatic substitution / diazonium chemistry,Formylation of an electron-rich arene or heteroarene using the chloroiminium electrophile generated from DMF and an acid chloride reagent such as POCl₃.,CN(C)c1ccccc1>>CN(C)c1ccc(C=O)cc1,Representative; RDKit-parsable,RXNO:0000055,Vilsmeier-Haack reaction,A formylation of an activated arene with a disubstituted formamide to give an arenecarbaldehyde.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 603",https://purl.obolibrary.org/obo/RXNO_0000055
293,Vilsmeier mechanism for acid chloride formation,Vilsmeier mechanism for acid chloride formation,605,No,,Mechanism,Functional-group interconversion / method,Transformation of a carboxylic acid to the corresponding acid chloride using oxalyl chloride and catalytic amount of dimethyl formamide (DMF).,O=C(O)c1ccccc1>>O=C(Cl)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 605",
294,Vinylcyclopropane–cyclopentene rearrangement,Vinylcyclopropane–cyclopentene rearrangement,606,No,,Reaction,Rearrangement / fragmentation,Transformation of vinylcyclopropane to cyclopentene via a diradical intermediate.,C=CC1CC1>>C1=CCCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 606",
295,von Braun reaction,von Braun reaction,608,No,,Reaction,Functional-group interconversion / method,"Treatment of tertiary amines with cyanogen bromide, resulting in a substituted cyanamide and alkyl halides.",CCN(CC)CC.N#CBr>>CCN(CC)C#N.CCBr,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 608",
296,Wacker oxidation,Wacker oxidation,610,No,,Reaction,Oxidation / alkene functionalization,Palladium-catalyzed oxidation of olefins to ketones.,CC=C>>CC(C)=O,Representative; RDKit-parsable,RXNO:0000130,Wacker-Tsuji oxidation,"The oxidation of a terminal alkene or ethene to a methyl ketone or acetaldehyde, catalysed by PdCl2 and CuCl2, and using molecular oxygen as the oxidant.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 610",https://purl.obolibrary.org/obo/RXNO_0000130
297,Wagner–Meerwein rearrangement,Wagner–Meerwein rearrangement,612,No,,Reaction,Rearrangement / fragmentation,"Carbocation rearrangement involving a 1,2-alkyl or hydride migration, typically producing a more stable rearranged skeleton.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 612",
298,Weiss–Cook reaction,Weiss–Cook reaction,614,No,,Reaction,Cycloaddition / annulation / ring formation,"Synthesis of cis-bicyclo[3.3.0]octane-3,7-dione.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 614",
299,Wharton oxygen transposition reaction,Wharton oxygen transposition reaction,616,No,,Reaction,Reduction,"Hydrazine-mediated conversion of an α,β-epoxy ketone to an allylic alcohol.",O=C1C2OC2CCC1>>OC1C=CCCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 616",
300,Willgerodt–Kindler reaction,Willgerodt–Kindler reaction,618,No,,Reaction,Functional-group interconversion / method,Conversion of ketones to the corresponding thioamide and/or ammonium salt.,CC(=O)c1ccccc1.S.O1CCNCC1>>S=C(N1CCOCC1)Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000186,Willgerodt-Kindler reaction,The conversion of an aryl alkyl ketone to an amide using sulfur and dry ammonia or a primary or secondary amine. The amide carbonyl group is always at the end of the alkyl chain.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 618",https://purl.obolibrary.org/obo/RXNO_0000186
301,Wittig reaction,Wittig reaction,621,No,,Reaction,Olefination / elimination,Olefination of an aldehyde or ketone with a phosphorus ylide to form an alkene and triphenylphosphine oxide.,O=Cc1ccccc1.[CH2-][P+](c1ccccc1)(c1ccccc1)c1ccccc1>>C=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000015,Wittig reaction,A carbon-carbon coupling reaction where a carbonyl compound reacts with a phosphonium ylide to give an alkene.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 621",https://purl.obolibrary.org/obo/RXNO_0000015
302,Schlosser modification of the Wittig reaction,Schlosser modification of the Wittig reaction,622,Yes,Wittig reaction,Reaction,Functional-group interconversion / method,Modified Wittig protocol in which non-stabilized ylides react with aldehydes to furnish predominantly E-alkenes.,O=Cc1ccccc1.[CH-](c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccccc1/C=C/c1ccccc1,Representative; RDKit-parsable,,,,"Listed as a subentry under the Wittig reaction. Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 622",
303,"[1,2]-Wittig rearrangement","[1,2]-Wittig rearrangement",624,No,,Reaction,Rearrangement / fragmentation,"Base-induced [1,2]-migration of an alkyl group in an ether carbanion to form an alcohol, often proceeding through a radical-pair pathway.",COCc1ccccc1>>CC(O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000260,"[1,2]-Wittig rearrangement","A base-mediated 1,2-sigmatropic rearrangement of an ether to give an alcohol.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 624",https://purl.obolibrary.org/obo/RXNO_0000260
304,"[2,3]-Wittig rearrangement","[2,3]-Wittig rearrangement",626,No,,Reaction,Rearrangement / fragmentation,Transformation of allyl ethers into homoallylic alcohols by treatment with base. Also known as Still–Wittig rearrangement.,COCC=C>>C=CCCO,Representative; RDKit-parsable,RXNO:0000261,"[2,3]-Wittig rearrangement","A base-mediated 2,3-sigmatropic rearrangement of an allyl ether to give a homoallylic alcohol.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 626",https://purl.obolibrary.org/obo/RXNO_0000261
305,Wohl–Ziegler reaction,Wohl–Ziegler reaction,628,No,,Reaction,Functional-group interconversion / method,"Radical-initiated allylic bromination using NBS, and catalytic AIBN as initiator or NBS under photolysis.",C1=CCCCC1>>BrC1CCC=CC1,Representative; RDKit-parsable,RXNO:0000225,Wohl-Ziegler bromination,"The allylic or benzylic bromination of hydrocarbons using an N-bromoimide and a radical initiator, to give an allylic or benzylic bromide.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 628",https://purl.obolibrary.org/obo/RXNO_0000225
306,Wolff rearrangement,Wolff rearrangement,630,No,,Reaction,Rearrangement / fragmentation,One-carbon homologation via the intermediacy of α-diazoketone and ketene.,O=C(C=[N+]=[N-])c1ccccc1>>O=C(O)Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000051,Wolff rearrangement,"A rearrangement of a diazoketone to give a ketene, with the elimination of molecular nitrogen.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 630",https://purl.obolibrary.org/obo/RXNO_0000051
307,Wolff–Kishner reduction,Wolff–Kishner reduction,632,No,,Reaction,Reduction,Carbonyl reduction to methylene using basic hydrazine.,CC(=O)c1ccccc1>>CCc1ccccc1,Representative; RDKit-parsable,RXNO:0000226,Wolff-Kishner reduction,"The reduction of an aldehyde or ketone to the corresponding methylene compound, using hydrazine hydrate and a base.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 632",https://purl.obolibrary.org/obo/RXNO_0000226
308,Yamaguchi esterification,Yamaguchi esterification,634,No,,Reaction,Functional-group interconversion / method,"Esterification using 2,4,6-trichlorobenzoyl chloride (the Yamaguchi reagent).",O=C(O)c1ccccc1.CCO>>CCOC(=O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000309,Yamaguchi esterification,"The esterification of a carboxylic acid with an alcohol using 2,4,6-trichlorobenzoyl chloride (Yamaguchi reagent).","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 634",https://purl.obolibrary.org/obo/RXNO_0000309
309,Zincke reaction,Zincke reaction,637,No,,Reaction,Aromatic substitution / diazonium chemistry,"Amine-exchange ring opening and reclosure of an N-(2,4-dinitrophenyl)pyridinium salt to form a new N-substituted pyridinium salt.",[n+]1(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])ccccc1.CN>>C[n+]1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 637",
