name,smiles,motif_count,motifs,alt_motifs,error
"2,4,6-Triisopropylbenzenesulfonyl chloride",CC(C)c1cc(C(C)C)c(S(=O)(=O)Cl)c(C(C)C)c1,4,Ar-SO2Cl / Ar-R / Ar-R / Ar-R,Ar-SO2X,
2-Mesitylenesulfonyl chloride,Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1,4,Ar-SO2Cl / Ar-R / Ar-R / Ar-R,Ar-SO2X,
3-(Pyridin-2-yl)benzaldehyde,O=Cc1cccc(-c2ccccn2)c1,3,Ar-CHO / Ar-Ar / Pyridine,,
4-Bromophenylacetylene,C#Cc1ccc(Br)cc1,2,Ar-C#CH / Ar-Br,Ar-C#C / Alkynyl-H / Any-C#C / Ar-X,
Ethyl cinnamate,CCOC(=O)C=Cc1ccccc1,2,Alkenyl-CO2R / Ar-C=C,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
4-Methoxycarbonylphenylboronic,COC(=O)c1ccc(B(O)O)cc1,2,Ar-B(OH)2 / Ar-CO2R,,
riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,11,Ar-R / Ar-R / Ar-Ar / AromN-H / Alkyl-AromN / R2CH-OH / R2CH-OH / R2CH-OH / RCH2-OH / Pyrimidine / Pyrimidine,Alkyl-OH / Alkyl-OH / Alkyl-OH / Alkyl-OH,
2'-Hydroxy-1'-acetonaphthone,CC(=O)c1c(O)ccc2ccccc12,5,Ar-COR / Ar-OH / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-H,
3-Hydroxy-9H-xanthen-9-one,O=c1c2ccccc2oc2cc(O)ccc12,1,Ar-OH,,
4-Iodobenzyl bromide,BrCc1ccc(I)cc1,3,Ar-R / Ar-I / Bn-Br,Ar-X / RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
4-Iodophenol,Oc1ccc(I)cc1,2,Ar-OH / Ar-I,Ar-X,
1-Phenylpyrazole,c1ccc(-n2cccn2)cc1,1,Ar-AromN,,
4-(Trifluoromethyl)phenylboronic acid,OB(O)c1ccc(C(F)(F)F)cc1,2,Ar-B(OH)2 / Ar-CF3,Ar-R / Alkyl-F / Alkyl-X,
Trifluoromethanesulfonyl chloride,O=S(=O)(Cl)C(F)(F)F,4,Alkyl-SO2Cl / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
1-(Trimethylsilyl)-1-pentyne,CCCC#C[Si](C)(C)C,4,Alkynyl-Si / Propargyl-H / Propargyl-H / Alkyl-Si,Any-C#C / Alkyl-C#C / Alkyl-H / Alkyl-H,
Phenyldimethylsilane,C[Si](C)c1ccccc1,2,Ar-Si / Alkyl-Si,,
Biphenyl-2-carboxaldehyde,O=Cc1ccccc1-c1ccccc1,2,Ar-CHO / Ar-Ar,,
3-methyl-2-phenylpyridine,Cc1cccnc1-c1ccccc1,3,Ar-R / Ar-Ar / Pyridine,,
4-Acetylphenylboronic acid,CC(=O)c1ccc(B(O)O)cc1,5,Ar-B(OH)2 / Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-H,
4-Fluorophenylboronic acid,OB(O)c1ccc(F)cc1,2,Ar-B(OH)2 / Ar-F,Ar-X,
S-(trifluoromethyl)dibenzothiophenium tetrafluoroborate,FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F,5,Alkyl-F / Alkyl-F / Alkyl-F / Benzothiophene / Benzothiophene,Alkyl-X / Alkyl-X / Alkyl-X / Thiophene,
4-Fluoro-3-(trifluoromethyl)-benzenesulfonyl chloride,O=S(=O)(Cl)c1ccc(F)c(C(F)(F)F)c1,3,Ar-CF3 / Ar-SO2Cl / Ar-F,Ar-R / Alkyl-F / Alkyl-X / Ar-SO2X / Ar-X,
S-(trifluoromethyl)dibenzothiophenium triflate,FC(F)(F)[s+]1c2ccccc2c2ccccc21.O=S(=O)([O-])C(F)(F)F,8,Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Benzothiophene / Benzothiophene,Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Thiophene,
3-Tolylboronic acid-in-Tol-10%,Cc1cccc(B(O)O)c1,2,Ar-B(OH)2 / Ar-R,,
3-Cyanobenzaldehyde,N#Cc1cccc(C=O)c1,2,Ar-CHO / Ar-CN,,
Cobalt Carbonyl,[CH-]=O.[CH-]=O.[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Co].[Co+2],0,,,
"2,3-Dichlorobenzenesulfonyl chloride",O=S(=O)(Cl)c1cccc(Cl)c1Cl,3,Ar-SO2Cl / Ar-Cl / Ar-Cl,Ar-SO2X / Ar-X / Ar-X,
Methyl Diphenylacetate,COC(=O)C(c1ccccc1)c1ccccc1,3,Ar-R / R2CH-CO2R / Alkyl-H-acidic,Alkyl-Ester / Alkyl-H,
Tributyltin hydride,CCC[CH2][SnH]([CH2]CCC)[CH2]CCC,1,RCH2-Sn,Alkyl-Sn,
ethyl hydrogen malonate,CCOC(=O)CC(=O)O,4,RCH2-CO2R / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-Ester / Alkyl-CO2H / Alkyl-H / Alkyl-H,
Diphenyl diselenide,c1ccc([Se][Se]c2ccccc2)cc1,1,Ar-H,,
homophthalic acid,O=C(O)Cc1ccccc1C(=O)O,5,Ar-CO2H / Ar-R / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H / Alkyl-H,
tert-Butyl 伪-bromoisobutyrate,CC(C)(C)OC(=O)C(C)(C)Br,2,R3C-CO2R / R3C-Br,Alkyl-Ester / Alkyl-Br / R3C-X / Alkyl-X,
Copper(I) cyanide,[C-]#N.[Cu+],0,,,
"TRIS(2,2'-BIPYRIDYL)RUTHENIUM(II) CHLORIDE HEXAHYDRATE",C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Cl-].[Cl-].[Ru+2],9,Ar-Ar / Ar-Ar / Ar-Ar / Pyridine / Pyridine / Pyridine / Pyridine / Pyridine / Pyridine,,
Copper(I) thiocyanate,N#C[S-].[Cu+],0,,,
3-Phenyl-1-propanol,OCCCc1ccccc1,2,Ar-R / RCH2-OH,Alkyl-OH,
Phenethyl chloride,ClCCc1ccccc1,2,Ar-R / RCH2-Cl,Alkyl-Cl / RCH2-X / Alkyl-X,
Isonicotinonitrile,N#Cc1ccncc1,2,Ar-CN / Pyridine,,
Triethylamine trihydrofluoride,CCN(CC)CC.F.F.F,1,RCH2-NR2,Alkyl-NR2,
4-Methoxybenzylamine-in-Tol-10%,COc1ccc(CN)cc1,3,Ar-OR / Ar-R / Bn-NH2,CH3-OR / Alkyl-OR / RCH2-NH2 / Alkyl-NH2,
Diphenylphosphine oxide,O=[PH](c1ccccc1)c1ccccc1,1,Ar-H,,
Ethyl 4-bromophenylacetate,CCOC(=O)Cc1ccc(Br)cc1,4,Bn-CO2R / Ar-Br / Alkyl-H-acidic / Alkyl-H-acidic,Ar-R / RCH2-CO2R / Alkyl-Ester / Ar-X / Alkyl-H / Alkyl-H,
dimethylaminoethyl chloride,CN(C)CCCl,3,RCH2-NR2 / RCH2-Cl / CH3-NR2,Alkyl-NR2 / Alkyl-Cl / RCH2-X / Alkyl-X / Alkyl-NR2,
Trimethylsulfoxonium iodide,C[S+](C)(C)=O,1,CH3-SR,Alkyl-SR,
Calcium hydride,NC(CC(=O)O)C(=O)O,6,R2CH-CO2H / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Alkyl-CO2H / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-NH2,
3-Phenylpropionic acid-in-Tol-10%,O=C(O)CCc1ccccc1,4,Ar-R / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H / Alkyl-H,
"3,4,5-trimethoxycinnamic acid",COc1cc(C=CC(=O)O)cc(OC)c1OC,5,Alkenyl-CO2H / Ar-OR / Ar-OR / Ar-OR / Ar-C=C,Any-Dienophile / Motif-C=C / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / Ar-Alkenyl,
Adamantane,C1C2CC3CC1CC(C2)C3,1,Alkyl-H,,
coumaric acid,O=C(O)C=Cc1ccc(O)cc1,3,Alkenyl-CO2H / Ar-C=C / Ar-OH,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
o-methylcinnamic acid,Cc1ccccc1C=CC(=O)O,3,Alkenyl-CO2H / Ar-C=C / Ar-R,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
benzyl cinnamate,O=C(C=Cc1ccccc1)OCc1ccccc1,3,Alkenyl-CO2R / Ar-C=C / Ar-R,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
3-Chlorocinnamic acid,O=C(O)C=Cc1cccc(Cl)c1,3,Alkenyl-CO2H / Ar-C=C / Ar-Cl,Any-Dienophile / Motif-C=C / Ar-Alkenyl / Ar-X,
alpha-methylcinnamic acid,CC(=Cc1ccccc1)C(=O)O,3,Alkenyl-CO2H / Ar-C=C / Alkyl-C=C,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
3-BROMOBENZANTHRONE,O=C1c2ccccc2-c2ccc(Br)c3cccc1c23,3,Ar-COR / Ar-Br / Ar-Ar,Ar-X,
Tetraethylammonium Perchlorate,CC[N+](CC)(CC)CC.[O-][Cl+3]([O-])([O-])[O-],1,Alkyl-H,,
Zinc cyanide,[C-]#N.[C-]#N.[Zn+2],0,,,
"1,2-dibromo(phenyl)ethane",BrCC(Br)c1ccccc1,3,Ar-R / R2CH-Br / RCH2-Br,Alkyl-Br / R2CH-X / Alkyl-X / Alkyl-Br / RCH2-X / Alkyl-X,
2-Iodobenzoic acid,O=C(O)c1ccccc1I,2,Ar-CO2H / Ar-I,Ar-X,
4-Methylbenzyl Alcohol,Cc1ccc(CO)cc1,3,Ar-R / Ar-R / Bn-OH,RCH2-OH / Alkyl-OH,
3-Acetylpyridine,CC(=O)c1cccnc1,5,Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Pyridine,Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-H,
m-(1-cyanoethyl)benzoic acid,CC(C#N)c1cccc(C(=O)O)c1,4,Ar-CO2H / Ar-R / R2CH-CN / Alkyl-H-acidic,Alkyl-CN / Alkyl-H,
2-Fluorophenylhydrazine hydrochloride,NNc1ccccc1F,2,Ar-Hydrazine / Ar-F,Ar-NHR / Ar-X,
Benzo[h]quinoline,c1ccc2c(c1)ccc1cccnc12,1,Quinoline,Pyridine,
(4-methanesulfonylphenyl)hydrazine hydrochloride,CS(=O)(=O)c1ccc(NN)cc1,6,Ar-SR / Ar-Hydrazine / Alkyl-SO2R / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,CH3-SR / Alkyl-SR / Ar-NHR / Alkyl-OSO2R / Alkyl-H / Alkyl-H / Alkyl-H,
2-Acetylthiophene,CC(=O)c1cccs1,5,Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Thiophene,Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-H,
4-(Trifluoromethoxy)phenylhydrazine Hydrochloride,NNc1ccc(OC(F)(F)F)cc1,2,Ar-OCF3 / Ar-Hydrazine,Ar-OR / Alkyl-OR / Alkyl-F / Alkyl-X / Ar-NHR,
"3,4-Dimethylphenylhydrazine hydrochloride",Cc1ccc(NN)cc1C,3,Ar-Hydrazine / Ar-R / Ar-R,Ar-NHR,
"1,4-diazabicyclo[2.2.2]octane-1,4-diium-1,4-disulfinate",O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2,1,Alkyl-H,,
2-bromo-4-methylpropiophenone,Cc1ccc(C(=O)C(C)Br)cc1,4,Ar-COR / Ar-R / Alkyl-H-acidic / R2CH-Br,R2CH-COR / Alkyl-COR / Alkyl-H / Alkyl-Br / R2CH-X / Alkyl-X,
3-Bromophenacyl bromide,O=C(CBr)c1cccc(Br)c1,5,Ar-COR / Ar-Br / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / Ar-X / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
6-Fluoroindole,Fc1ccc2cc[nH]c2c1,3,Ar-F / AromN-H / Indole,Ar-X / Pyrrole,
1-Naphthylamine,Nc1cccc2ccccc12,1,Ar-NH2,,
2-Bromo-3'-fluoroacetophenone,O=C(CBr)c1cccc(F)c1,5,Ar-COR / Ar-F / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / Ar-X / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
7-Bromo-1-tetralone,O=C1CCCc2ccc(Br)cc21,5,Ar-COR / Ar-R / Ar-Br / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / Ar-X / Alkyl-H / Alkyl-H,
methyl 4-(2-bromoacetyl)benzoate,COC(=O)c1ccc(C(=O)CBr)cc1,5,Ar-CO2R / Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
methyl 2-hydroxynaphthalene-1-carboxylate,COC(=O)c1c(O)ccc2ccccc12,2,Ar-CO2R / Ar-OH,,
Diphenylacetylene,C(#Cc1ccccc1)c1ccccc1,2,Ar-C#C / Ar-C#C,Any-C#C,
1-Phenyl-1-propyne,CC#Cc1ccccc1,2,Ar-C#C / Alkyl-C#C,Any-C#C,
5-Nitroindole,O=[N+]([O-])c1ccc2[nH]ccc2c1,3,Ar-NO2 / AromN-H / Indole,Ar-NR2 / Pyrrole,
7-Methoxy-1-tetralone,COc1ccc2c(c1)C(=O)CCC2,5,Ar-COR / Ar-OR / Ar-R / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / CH3-OR / Alkyl-OR / Alkyl-H / Alkyl-H,
3-Chlorophenylhydrazine hydrochloride,NNc1cccc(Cl)c1,2,Ar-Hydrazine / Ar-Cl,Ar-NHR / Ar-X,
4-(Trifluoromethyl)phenacyl bromide,O=C(CBr)c1ccc(C(F)(F)F)cc1,5,Ar-CF3 / Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,Ar-R / Alkyl-F / Alkyl-X / RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
1-Boc-4-methyl-piperidine-4-carboxylic acid,CC(C)(C)OC(=O)N1CCC(C)(C(=O)O)CC1,2,Alkyl-Carbamate / R3C-CO2H,Alkyl-CO2H,
"2,4-Dichlorophenacyl Bromide",O=C(CBr)c1ccc(Cl)cc1Cl,6,Ar-COR / Ar-Cl / Ar-Cl / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / Ar-X / Ar-X / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
alpha-Bromo-2'-acetonaphthone,O=C(CBr)c1ccc2ccccc2c1,4,Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
4-Ethoxybenzoyl Chloride,CCOc1ccc(C(=O)Cl)cc1,2,Ar-COCl / Ar-OR,Acyl-Cl / Ar-COX / RCH2-OR / Alkyl-OR,
4-(Methoxycarbonyl)benzylboronic Acid Pinacol Ester,COC(=O)c1ccc(CB2OC(C)(C)C(C)(C)O2)cc1,3,Ar-CO2R / Ar-R / Alkyl-Bpin,RCH2-B(OR)2,
"2-(4,4,5,5-Tetramethyl-1,3,2-dioxaborolan-2-yl)phenol",CC1(C)OB(c2ccccc2O)OC1(C)C,2,Ar-Bpin / Ar-OH,Ar-B(OR)2,
6-(4-Chlorophenyl)-3-pyridinecarbaldehyde,O=Cc1ccc(-c2ccc(Cl)cc2)nc1,4,Ar-CHO / Ar-Cl / Ar-Ar / Pyridine,Ar-X,
1-chloro-3-iodobenzene,Clc1cccc(I)c1,2,Ar-Cl / Ar-I,Ar-X / Ar-X,
2-Bromo-3'-methoxyacetophenone,COc1cccc(C(=O)CBr)c1,5,Ar-COR / Ar-OR / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / CH3-OR / Alkyl-OR / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
1-Bromo-4-chlorobenzene,Clc1ccc(Br)cc1,2,Ar-Br / Ar-Cl,Ar-X / Ar-X,
1-(Phenylthio)propan-2-one,CC(=O)CSc1ccccc1,7,Ar-SR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,RCH2-SR / Alkyl-SR / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR,
chromen-4-one,O=c1ccoc2ccccc12,1,Ar-H,,
DL-Ethionine,CCSCCC(N)C(=O)O,4,R2CH-CO2H / Alkyl-H-acidic / RCH2-SR / R2CH-NH2,Alkyl-CO2H / Alkyl-H / Alkyl-SR / Alkyl-NH2,
10-Methylphenothiazine,CN1c2ccccc2Sc2ccccc21,3,Ar-SAr / Ar-NR2 / CH3-NR2,Ar-SR / Alkyl-NR2,
4-Chloro-6-methyl-2-(methylthio)pyrimidine,CSc1nc(C)cc(Cl)n1,4,Ar-SR / Ar-R / Ar-Cl / Pyrimidine,CH3-SR / Alkyl-SR / Ar-X,
"(3,4-difluorophenyl)hydrazine hydrochloride",NNc1ccc(F)c(F)c1,3,Ar-Hydrazine / Ar-F / Ar-F,Ar-NHR / Ar-X / Ar-X,
Dibutyl Sulfone,CCCCS(=O)(=O)CCCC,5,RCH2-SO2R / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-SO2R / Alkyl-OMs / Alkyl-OSO2R / RCH2-SR / Alkyl-SR / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
4-Benzoyl 4'-Methyldiphenyl Sulfide,Cc1ccc(Sc2ccc(C(=O)c3ccccc3)cc2)cc1,3,Ar-SAr / Ar-COR / Ar-R,Ar-SR,
4-(Methylthio)benzoic acid,CSc1ccc(C(=O)O)cc1,2,Ar-CO2H / Ar-SR,CH3-SR / Alkyl-SR,
N-Acetyl-DL-methionine,CSCCC(NC(C)=O)C(=O)O,7,R2CH-CO2H / Alkyl-NCOR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-SR,Alkyl-CO2H / Alkyl-CONHR / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / CH3-SR / Alkyl-SR,
thioctic acid,O=C(O)CCCCC1CCSS1,3,RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H / Alkyl-H,
4-Iodothioanisole,CSc1ccc(I)cc1,2,Ar-SR / Ar-I,CH3-SR / Alkyl-SR / Ar-X,
4-(Methylthio)benzonitrile,CSc1ccc(C#N)cc1,2,Ar-CN / Ar-SR,CH3-SR / Alkyl-SR,
Bis(phenylthio)methane,c1ccc(SCSc2ccccc2)cc1,2,Ar-SR / Ar-SR,RCH2-SR / Alkyl-SR / RCH2-SR / Alkyl-SR,
4-Bromophenacyl Bromide,O=C(CBr)c1ccc(Br)cc1,5,Ar-COR / Ar-Br / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / Ar-X / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
Benzyl Phenyl Sulfide,c1ccc(CSc2ccccc2)cc1,3,Ar-SR / Ar-R / Bn-SR,RCH2-SR / Alkyl-SR,
2'-Methylacetophenone,CC(=O)c1ccccc1C,5,Ar-COR / Ar-R / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-H,
"3,4,5-Trifluorophenol",Oc1cc(F)c(F)c(F)c1,4,Ar-OH / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X,
Valerophenone,CCCCC(=O)c1ccccc1,3,Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H,
Benzyltriethylammonium Chloride,CC[N+](CC)(CC)Cc1ccccc1,1,Ar-R,,
Tetrabutylammonium perchlorate,CCCC[N+](CCCC)(CCCC)CCCC.[O-][Cl+3]([O-])([O-])[O-],1,Alkyl-H,,
Gallium(III) trifluoromethanesulfonate,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Ga+3],9,Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
Rhodium(II) octanoate dimer,CCCCCCCC(=O)O.CCCCCCCC(=O)O.CCCCCCCC(=O)O.CCCCCCCC(=O)O.[Rh].[Rh],12,RCH2-CO2H / RCH2-CO2H / RCH2-CO2H / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-CO2H / Alkyl-CO2H / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Silver trifluoromethanesulfonate,O=S(=O)([O-])C(F)(F)F.[Ag+],3,Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
"3,4-Diaminotoluene",Cc1ccc(N)c(N)c1,3,Ar-NH2 / Ar-NH2 / Ar-R,,
1-butyl-3-methylimidazolium trifluoromethansulfonate,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,5,Alkyl-AromN / Alkyl-AromN / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
4'-Thioacetanilide,CC(=O)Nc1ccc(S)cc1,5,Ar-Amide / Ar-SH / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CONHR / Alkyl-H / Alkyl-H / Alkyl-H,
Sodium thiocyanate,N#CS,0,,,
potassium di-tert-butylphosphate,CC(C)(C)OP(=O)(O)OC(C)(C)C,1,Alkyl-H,,
bis(catecholato)diboron,c1ccc2c(c1)OB(B1Oc3ccccc3O1)O2,1,Ar-H,,
Acetohydroxamic Acid,CC(O)=NO,1,Alkyl-H,,
"4,4'-Dimethylbenzophenone",Cc1ccc(C(=O)c2ccc(C)cc2)cc1,3,Ar-COR / Ar-R / Ar-R,,
4-Bromophenylacetonitrile,N#CCc1ccc(Br)cc1,4,Bn-CN / Ar-Br / Alkyl-H-acidic / Alkyl-H-acidic,Ar-R / RCH2-CN / Alkyl-CN / Ar-X / Alkyl-H / Alkyl-H,
Benzylsulfonyl chloride,O=S(=O)(Cl)Cc1ccccc1,4,Ar-R / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-SO2Cl,Alkyl-H / Alkyl-H,
2-(4-chlorophenyl)pyridine,Clc1ccc(-c2ccccn2)cc1,3,Ar-Cl / Ar-Ar / Pyridine,Ar-X,
DL-phenylsuccinic acid,O=C(O)CC(C(=O)O)c1ccccc1,6,Ar-R / R2CH-CO2H / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-H,
4-nitroaniline,Nc1ccc([N+](=O)[O-])cc1,2,Ar-NO2 / Ar-NH2,Ar-NR2,
Boc-DL-Pro-OH,CC(C)(C)OC(=O)N1CCCC1C(=O)O,3,Alkyl-Carbamate / R2CH-CO2H / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H,
"3,5-Dimethylphenylhydrazine hydrochloride",Cc1cc(C)cc(NN)c1,3,Ar-Hydrazine / Ar-R / Ar-R,Ar-NHR,
Benzoylacetonitrile,N#CCC(=O)c1ccccc1,4,Ar-COR / RCH2-CN / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / Alkyl-CN / Alkyl-H / Alkyl-H,
3-Methoxyphenylboronic acid,COc1cccc(B(O)O)c1,2,Ar-B(OH)2 / Ar-OR,CH3-OR / Alkyl-OR,
Glutarimide,O=C1CCCC(=O)N1,6,RCH2-CONHR / RCH2-CONHR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CONHR / Alkyl-CONHR / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
1-Methyl-1-cyclohexanecarboxylic acid,CC1(C(=O)O)CCCCC1,1,R3C-CO2H,Alkyl-CO2H,
4-Methoxyphenylboronic acid,COc1ccc(B(O)O)cc1,2,Ar-B(OH)2 / Ar-OR,CH3-OR / Alkyl-OR,
Phenyl Benzoate,O=C(Oc1ccccc1)c1ccccc1,1,Ar-CO2R,,
Bis(4-methoxyphenyl) disulphide,COc1ccc(SSc2ccc(OC)cc2)cc1,2,Ar-OR / Ar-OR,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
4-Bromo-2-iodoaniline,Nc1ccc(Br)cc1I,3,Ar-NH2 / Ar-Br / Ar-I,Ar-X / Ar-X,
p-Toluenesulfonanilide,Cc1ccc(S(=O)(=O)Nc2ccccc2)cc1,2,Ar-Sulfonamide / Ar-R,Ar-SO2NHR,
1-Boc-3-azetidinone,CC(C)(C)OC(=O)N1CC(=O)C1,6,Alkyl-Carbamate / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR,
9-borabicyclo[3.3.1]nonane,B1C2CCCC1CCC2,1,Alkyl-H,,
Trichloroisocyanuric Acid,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,0,,,
Benzamidine Hydrochloride,N=C(N)c1ccccc1,1,Ar-Imino,,
3-Chlorophenylacetic acid,O=C(O)Cc1cccc(Cl)c1,5,Ar-R / Ar-Cl / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H,
Z-lys(boc)-OH,CC(C)(C)OC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)O,5,Ar-R / Alkyl-Carbamate / Alkyl-Carbamate / R2CH-CO2H / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H,
N-(Carbobenzyloxy)-L-phenylalanine,O=C(NC(Cc1ccccc1)C(=O)O)OCc1ccccc1,5,Ar-R / Ar-R / Alkyl-Carbamate / R2CH-CO2H / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H,
